	Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	BioSample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash
0	ERR4165130	2020-05-21 13:39:03	2020-05-21 15:22:40	385718	106113533	0	275	26	assembly	https://sra-download.ncbi.nlm.nih.gov/traces/era19/ERR/ERR4165/ERR4165130	ERX4130429		AMPLICON	PCR	VIRAL RNA	SINGLE	0	0	ILLUMINA	NextSeq 500	ERP121228	PRJEB37886		629258	ERS4575839	SAMEA6848242	simple	2697049	Severe acute respiratory syndrome coronavirus 2	COG-UK/NORW-E8235							no					QUADRAM INSTITUTE BIOSCIENCE	ERA2624023		public	CCCA974E24EBF7D90382B8E21C5CC209	5A69759320AE14FB2973A4A981C09CB7
1	ERR4165112	2020-05-21 10:22:36	2020-05-21 11:39:21	477260	131194030	0	274	32	assembly	https://sra-download.ncbi.nlm.nih.gov/traces/era19/ERR/ERR4165/ERR4165112	ERX4130425		AMPLICON	PCR	VIRAL RNA	SINGLE	0	0	ILLUMINA	NextSeq 500	ERP121228	PRJEB37886		629258	ERS4575835	SAMEA6848238	simple	2697049	Severe acute respiratory syndrome coronavirus 2	COG-UK/NORW-E8A2E							no					QUADRAM INSTITUTE BIOSCIENCE	ERA2624005		public	4F0F6809ED6618DC82BACF12B08DF948	33D3C97FDC66228D6B25AB6213CB53DB
2	ERR4165137	2020-05-21 10:22:36	2020-05-21 11:40:03	749440	222683309	0	297	52	assembly	https://sra-download.ncbi.nlm.nih.gov/traces/era19/ERR/ERR4165/ERR4165137	ERX4130478		Targeted-Capture	other	VIRAL RNA	SINGLE	0	0	ILLUMINA	NextSeq 550	ERP121228	PRJEB37886		629258	ERS4575778	SAMEA6848181	simple	2697049	Severe acute respiratory syndrome coronavirus 2	COG-UK/PHEC-18C3E							no					PUBLIC HEALTH ENGLAND (COLINDALE)	ERA2624032		public	33D84E26D257F9C3D868326E9487BB41	12F3944B7A7DDA64B1F0D4DFE55A4FB5
3	ERR4165135	2020-05-21 10:22:36	2020-05-21 11:39:21	181991	53913401	0	296	12	assembly	https://sra-download.ncbi.nlm.nih.gov/traces/era19/ERR/ERR4165/ERR4165135	ERX4130476		Targeted-Capture	other	VIRAL RNA	SINGLE	0	0	ILLUMINA	NextSeq 550	ERP121228	PRJEB37886		629258	ERS4575830	SAMEA6848233	simple	2697049	Severe acute respiratory syndrome coronavirus 2	COG-UK/PHEC-1B776							no					PUBLIC HEALTH ENGLAND (COLINDALE)	ERA2624029		public	9281E766DF0E1E85A276424F48B29E97	60AF542602B0BDF6F296E9920FE7B188
4	ERR4165129	2020-05-21 13:39:03	2020-05-21 15:22:42	321639	119566219	0	371	37	assembly	https://sra-download.ncbi.nlm.nih.gov/traces/era19/ERR/ERR4165/ERR4165129	ERX4130460		AMPLICON	PCR	VIRAL RNA	SINGLE	0	0	ILLUMINA	unspecified	ERP121228	PRJEB37886		629258	ERS4575770	SAMEA6848173	simple	2697049	Severe acute respiratory syndrome coronavirus 2	COG-UK/PHWC-248D1							no					PUBLIC HEALTH WALES (CARDIFF)	ERA2624022		public	32E10F0E2F66D1390E3694DF99E3AB56	5DCBB3CC4885F7F193937B4A65F9577B
5	ERR4165092	2020-05-21 10:22:36	2020-05-21 11:39:14	352600	143886412	0	408	46	assembly	https://sra-download.ncbi.nlm.nih.gov/traces/era19/ERR/ERR4165/ERR4165092	ERX4130456		AMPLICON	PCR	VIRAL RNA	SINGLE	0	0	ILLUMINA	unspecified	ERP121228	PRJEB37886		629258	ERS4575789	SAMEA6848192	simple	2697049	Severe acute respiratory syndrome coronavirus 2	COG-UK/PHWC-249B0							no					PUBLIC HEALTH WALES (CARDIFF)	ERA2623985		public	F572FDF702BF40CFD644C27A7B8BE956	39B38CCE45B63434F6DDE0E08A4841DB
6	ERR4165127	2020-05-21 10:22:36	2020-05-21 11:39:28	298823	123142612	0	412	43	assembly	https://sra-download.ncbi.nlm.nih.gov/traces/era19/ERR/ERR4165/ERR4165127	ERX4130459		AMPLICON	PCR	VIRAL RNA	SINGLE	0	0	ILLUMINA	unspecified	ERP121228	PRJEB37886		629258	ERS4575760	SAMEA6848163	simple	2697049	Severe acute respiratory syndrome coronavirus 2	COG-UK/PHWC-2522D							no					PUBLIC HEALTH WALES (CARDIFF)	ERA2624020		public	E24E023E36DFA97EECBFBCE3F840B066	EE93F60632A215909286E9DF8961995B
7	ERR4165089	2020-05-21 10:22:36	2020-05-21 11:39:18	929665	265142518	0	285	43	assembly	https://sra-download.ncbi.nlm.nih.gov/traces/era19/ERR/ERR4165/ERR4165089	ERX4130457		AMPLICON	PCR	VIRAL RNA	SINGLE	0	0	ILLUMINA	unspecified	ERP121228	PRJEB37886		629258	ERS4575824	SAMEA6848227	simple	2697049	Severe acute respiratory syndrome coronavirus 2	COG-UK/PHWC-254EB							no					PUBLIC HEALTH WALES (CARDIFF)	ERA2623981		public	72CF9C3B75A16C710868C3973F9956A3	91EBEEF2592BA51F2E5AD652B573D70E
8	ERR4165050	2020-05-20 12:05:32	2020-05-20 22:24:37	380024	109237117	0	287	18	assembly	https://sra-download.ncbi.nlm.nih.gov/traces/era19/ERR/ERR4165/ERR4165050	ERX4130420		AMPLICON	PCR	VIRAL RNA	SINGLE	0	0	ILLUMINA	NextSeq 550	ERP121228	PRJEB37886		629258	ERS4575829	SAMEA6848232	simple	2697049	Severe acute respiratory syndrome coronavirus 2	COG-UK/PHWC-27425							no					PUBLIC HEALTH WALES (CARDIFF)	ERA2623901		public	994322BE0F41EC3895A5164D86FD8734	2AF1BA9AC3C2F1F3EFFFD78D39EDDADF
9	ERR4181714	2020-05-30 20:42:40	2020-05-30 23:28:33	29343	14226851	29343	484	6		https://sra-download.ncbi.nlm.nih.gov/traces/era16/ERR/ERR4181/ERR4181714	ERX4145136		WGA	RT-PCR	GENOMIC	PAIRED	0	0	ILLUMINA	Illumina MiSeq	ERP120836	PRJEB37513		621271	ERS4477968	SAMEA6750238	simple	2697049	Severe acute respiratory syndrome coronavirus 2	hCoV-19/Spain/Valencia48/2020							no					FISABIO - PUBLIC HEALTH	ERA2652046		public	91255264A3D0DA8AF8B437F7028169B8	7C23BF082F74CAB94CD2AA83EE92FFD4
